name,ios,android,image,description
Air Canada,https://itunes.apple.com/us/app/air-canada/id326459697?mt=8,https://play.google.com/store/apps/details?id=com.AirCanadaApp&hl=en,http://a4.mzstatic.com/us/r30/Purple3/v4/14/51/77/14517774-2ca7-1e95-5395-4284e1c36cb7/icon175x175.png,Welcome aboard! The Air Canada App is your personal travel companion. Air Canada now supports Apple Watch! - View the status of your flights departing within 24 hours. - See your countdown to boarding time from your Glances. - Get notifications when it’s time to check-in and board your flight.
Air FranceKLM,https://itunes.apple.com/us/app/air-france/id391968627?mt=8,https://play.google.com/store/apps/details?id=com.airfrance.android.dinamoprd&hl=en,http://a3.mzstatic.com/us/r30/Purple69/v4/a9/f5/84/a9f5848a-1b05-5e52-7063-b30e6f8aa444/icon175x175.png,"Get away now with the new Air France smartphone app!
 
 Your trip at your fingertips 
 Purchase tickets, check in, modify your reservation, view your flight status or your Flying Blue account: organize every aspect of your trip from your mobile phone."
KLM,https://itunes.apple.com/us/app/klm/id391732065?mt=8,https://play.google.com/store/apps/details?id=com.afklm.mobile.android.gomobile.klm&hl=en,https://lh4.ggpht.com/FnOKEldx4R3cr7ODHbKtlnU2o2wsAOxEyAmANL6xaPZeehlQiEXc6kLXpRG_gcezPkk=w300-rw,"The new and vastly improved KLM app is ready to deliver what you need, when you need it. With features like one-tap check-in, effortless seat changes, and handy destination information, you’re always one step ahead on your journey."
Alaska Airlines,https://itunes.apple.com/us/app/alaska-airlines/id356143077?mt=8,https://play.google.com/store/apps/details?id=com.alaskaairlines.android&hl=en,http://a4.mzstatic.com/us/r30/Purple3/v4/5b/fc/04/5bfc046c-6c42-1408-3e76-4ca79ec4d51f/icon175x175.jpeg,"Travel light at each stage of your journey with our companion mobile app. Explore options, book trips, check in, and move hassle-free through airports. Find all the flight information that matters to you, as you need it. 

Features of our travel app:

• Book a flight and select your seat.
• See your trips in a list for easy access.
• Change your seat prior to departure."
Gogo,https://itunes.apple.com/us/app/gogo-video-player/id491450511?mt=8,https://play.google.com/store/apps/details?id=com.connectionmanager.app&hl=en,http://a2.mzstatic.com/us/r30/Purple49/v4/2d/ad/15/2dad152d-f512-43ed-647b-b508d3c9c660/icon175x175.png,"Just because you’re in the air, doesn’t mean you should be without Internet access! With the free Gogo app, you get quick and easy sign-in to Wi-Fi in the sky, every time you fly a Gogo equipped flight. The app automatically detects the gogoinflight signal, leaving you more time to surf the skies, and less time fumbling with your phone settings. Just sign in, and get online in air, with the touch of a button."
American Airlines,https://itunes.apple.com/us/app/american-airlines/id382698565?mt=8,https://play.google.com/store/apps/details?id=com.aa.android&hl=en,https://lh3.googleusercontent.com/LgrZL84ydVu55EP0Vs0PfHIknH5X9XKo4YG-HM_TVwzMoctId97Ge7u3HpFydq1regg=w300-rw,"With the American Airlines app, you can view personal flight details such as your gate, seat and flight status info at a glance. You can access your Mobile Boarding Pass – the app saves it for you so it’s always easy to find. You can also monitor your place on the standby list, track your elite status progress, play Sudoku, set parking reminders, and much more. Simply swipe and tap your way through your personalized American Airlines travel information with the app that’s perfect for flying through airports.
Upon installation, you are consenting to the install of this application and any future updates or upgrades you may request.

"
British Airways,https://itunes.apple.com/us/app/british-airways/id284793089?mt=8,https://play.google.com/store/apps/details?id=com.ba.mobile&hl=en,https://lh4.ggpht.com/IxujrnrZi65unb-oq-97kfKT7-GbsddJmX1Pp6Q8Mc_Ftd7Zi4ynq8r-zNqZ8svodw=w300-rw,"To Fly. To Serve.

The British Airways app makes booking, boarding and accessing everything about your flights easier than ever before. Personalised to you, the app gives you instant access to the information you need, when you need it."
Cathay Pacific,https://itunes.apple.com/us/app/cathay-pacific/id305038764?mt=8,https://play.google.com/store/apps/details?id=com.xs2theworld.cxmobile&hl=en,https://lh3.googleusercontent.com/SB8RgHvmSKRUfxZ9CluslhfFuSblSvVjDBjpfGWdCTXg4-OiRtKLowfcMVVjliHaIlY=w300-rw,"No matter where you’re flying, the Cathay Pacific app makes your journey easier to plan and manage. We’re introducing the feature to book flights from 22 origins, and we will add more in upcoming phases."
Delta Air Lines,https://itunes.apple.com/us/app/fly-delta/id388491656?mt=8,https://play.google.com/store/apps/details?id=com.delta.mobile.android&hl=en,https://lh6.ggpht.com/zP1693CpuJuDpuZrXZgze8VmiusYr3w4v7bYJuyCzSi6jsgpaENFdcqjObBTy1fQ9HE=w300-rw,"Check in, choose your seat, get your boarding pass, check your baggage allowance, view your departure times, get details of any connecting flights – all just a few taps away."
Lufthansa,https://itunes.apple.com/us/app/lufthansa/id299219152?mt=8,https://play.google.com/store/apps/details?id=com.lufthansa.android.lufthansa&hl=en,http://a5.mzstatic.com/us/r30/Purple3/v4/55/3f/8b/553f8b43-5ebd-c526-d824-071d20903fc8/icon175x175.jpeg,"Everything you need for your Lufthansa journey in an app: flight booking, timetable, flight status, check-in and more. In addition you can enjoy quick access to your personal travel data and your Miles & More account. Try it now!

The Lufthansa app offers you:

*** APPLE WATCH ***
The Lufthansa app for Apple Watch is your perfect travel companion. It offers a quick overview of flight data, seat, gate, terminal, a boarding countdown and the weather at your destination. "
Qantas,https://itunes.apple.com/au/app/qantas-airways/id640437525?mt=8,https://play.google.com/store/apps/details?id=au.com.qantas.qantas&hl=en,https://lh3.ggpht.com/mpI9Cj53hiNF0a18pTEVoVYRKlK4BqffOnS6hmTqq5zMk7EHTon2tMPsqqtV7BJLZEk=w300-rw,Find the right fare and remove the stress from your journey with the Qantas app. It’s about making flying a breeze
,https://itunes.apple.com/us/app/qantas-entertainment/id968906181?mt=8,https://play.google.com/store/apps/details?id=au.com.qantas.qstreaming&hl=en,https://lh3.googleusercontent.com/gOOEpnR6vEWyNtN6oU6huwcap-a8AgRO6ueGK0RNSUN9mj0irympwQQXpluYWfil=w300-rw,"The Qantas Entertainment App lets you connect wirelessly to the onboard Q Streaming entertainment system available on selected aircraft*. Once connected, you’ll have access to hundreds of hours of movies, TV programs and music, as well as our unique set of radio programs specially prepared for Qantas."
SAS Scandinavian Airlines,https://itunes.apple.com/us/app/sas-scandinavian-airlines/id605727126?mt=8,https://play.google.com/store/apps/details?id=se.sas.android&hl=en,https://lh6.ggpht.com/RbQraiFz3VQbOAEYjeAbS8Cfu1LHTBfEe-9iy24s9HVzC0EVSZVn_cDfSC3be5Hj9Ew0=w300-rw,"Hi there, we’re SAS the airline of Scandinavia. If you want to make travel easier when flying with us, you’ve got to download our app. Besides booking your flight, you can also book your hotel and explore our destinations. When you’ve completed a booking you simply add your flight to your calendar and check on the airport maps – so you know where to go. Checking in is super simple and you can add your boarding pass to passbook – if that’s your thing. For our frequent flyers we’ve integrated EuroBonus and Travel Pass in our app. The app does not support booking in the US. There is a lot more to check out, so just download it and get ready! SAS makes travel easy. Enjoy!"
Southwest Airlines,https://itunes.apple.com/us/app/southwest-airlines/id344542975?mt=8,https://play.google.com/store/apps/details?id=com.southwestairlines.mobile&hl=en,http://a5.mzstatic.com/us/r30/Purple49/v4/31/c4/ac/31c4ac7d-f657-ba10-e1ee-6c08099dc255/icon175x175.jpeg,"Traveling with Southwest Airlines is even more convenient with our mobile app. So, whether you’re on the go traveling to that next big meeting or just on the couch daydreaming about a vacation, Southwest mobile gives you access to what you need. "
United Airlines,https://itunes.apple.com/us/app/united-airlines/id449945214?mt=8,https://play.google.com/store/apps/details?id=com.united.mobile.android&hl=en,http://a4.mzstatic.com/us/r30/Purple69/v4/df/d1/85/dfd18556-9a9a-3514-bd1a-b4eb623262b7/icon175x175.jpeg,"The United app puts valuable travel information in the palm of your hand with our new home screen travel cards, ready to access at a moment’s notice."
US Airways,https://itunes.apple.com/us/app/us-airways/id672188283?mt=8,https://play.google.com/store/apps/details?id=passenger.mobileapps.usairways.com&hl=en,http://a4.mzstatic.com/us/r30/Purple5/v4/65/8a/d9/658ad9ac-ab9c-3227-0430-bc51065e4671/icon175x175.jpeg,"Take US along wherever you go! Log in once and you'll have fast and easy access to everything you need - trips, flight status, boarding passes, check-in and more. "